TIME,LATITUDE,LONGITUDE,SPEED,ACC_1,ACC_2,ACC_3
1499254204714,45.5625317,9.0463935,0,6.797003776171516,7.664867403182642,-0.3924462916300109
1499254204734,45.5625317,9.0463935,0,7.211422474751549,7.517315613032064,0.11369724436770934
1499254204755,45.5625317,9.0463935,0,6.741117378966273,7.413575914320938,-0.8272519216903085
1499254204775,45.5625317,9.0463935,0,6.214297392740669,7.000255003619655,-1.782253162964206
1499254204781,45.5625317,9.0463935,0,6.214297392740669,7.000255003619655,-1.782253162964206
1499254204798,45.5625317,9.0463935,0,5.928596693353193,6.869406830916932,-2.3188570892629126
1499254204813,45.5625317,9.0463935,0,6.255503460908989,7.030624845774102,-2.009427128680916
1499254204834,45.5625317,9.0463935,0,6.614628454164344,7.112160099081188,-1.3096169173828747
1499254204853,45.5625317,9.0463935,0,6.501297028033056,7.298143160683198,-1.3837905301225542
1499254204874,45.5625317,9.0463935,0,6.5057841962939325,7.370333916382094,-1.411666743544262
1499254204894,45.5625317,9.0463935,0,6.3525139131998385,7.167718699096151,-1.6776948796897195
1499254204914,45.5625317,9.0463935,0,6.455637010399642,7.239267445636217,-1.5598551845523065
1499254204933,45.5625317,9.0463935,0,6.541038754619775,7.146048676128798,-1.651335172618555
1499254204954,45.5625317,9.0463935,0,6.4979547840074146,7.15932422552213,-1.5718683156630897
1499254204974,45.5625317,9.0463935,0,5.561250551724083,7.3023242652648,-3.497104812368147
1499254204994,45.5625317,9.0463935,0,5.7959976567724985,7.373947695156696,-4.079540233432324
1499254205015,45.5625317,9.0463935,0,6.135558694697069,7.049235840759901,-2.6666211954951073
1499254205033,45.5625317,9.0463935,0,7.196911923372659,6.882980586892401,-2.0744382392375353
1499254205053,45.5625317,9.0463935,0,6.738669228169481,7.405300742659538,-0.5764628327928487
1499254205074,45.5625317,9.0463935,0,6.09383850061149,7.675565144883709,0.04497568212991565
1499254205094,45.5625317,9.0463935,0,6.325951833182538,7.210564594440059,-2.745054511856562
1499254205114,45.5625317,9.0463935,0,6.612011780087005,7.080086418715007,-0.5710931930115879
1499254205135,45.5625317,9.0463935,0,5.890615182440877,6.7358305465643635,-0.7299036019583909
1499254205154,45.5625317,9.0463935,0,5.803855688075551,6.939024994747866,-2.5414819752423528
1499254205175,45.5625317,9.0463935,0,4.919511047891367,6.26748368689897,-3.3078525055296
1499254205195,45.5625317,9.0463935,0,5.4301277169037085,7.91724133553176,-0.6586289946698716
1499254205215,45.5625317,9.0463935,0,6.260061745722711,8.046902292075636,1.7143759489903942
1499254205237,45.5625317,9.0463935,0,6.661551085204808,5.653850674301484,2.49121157524396
1499254205256,45.5625317,9.0463935,0,5.871884800812204,8.155061031250444,2.0013318027766127
1499254205275,45.5625317,9.0463935,0,5.243023662905837,8.201259310330414,3.016215597516301
1499254205294,45.5625317,9.0463935,0,5.761655287256055,5.709718288802364,2.810983313210437
1499254205317,45.5625317,9.0463935,0,4.57245348477399,6.231420953930055,1.9265270639218641
1499254205334,45.5625317,9.0463935,0,3.0113917086615687,6.531884819675842,2.486075312031982
1499254205356,45.5625317,9.0463935,0,2.5963106523765305,7.1738194198504655,5.697759885685571
1499254205375,45.5625317,9.0463935,0,3.9215732086640105,5.649706500185342,6.928951196014575
1499254205394,45.5625317,9.0463935,0,3.5617822455329016,4.661781798170375,6.221575173885787
1499254205415,45.5625317,9.0463935,0,2.9039815275664003,6.495187671931479,6.003163959692321
1499254205433,45.5625317,9.0463935,0,5.4010367303449005,5.70298195036064,9.149945524435537
1499254205454,45.5625317,9.0463935,0,8.766160623632574,5.218932597660505,11.119961533831944
1499254205474,45.5625317,9.0463935,0,9.71812460908198,4.398521006625984,7.710787438040088
1499254205494,45.5625317,9.0463935,0,8.008748546717069,3.1421794741713587,6.386522946412836
1499254205518,45.5625317,9.0463935,0,5.434518457229377,2.244133236679904,5.8283877227238445
1499254205538,45.5625317,9.0463935,0,3.723256553861618,4.064759671692871,6.386602522914209
1499254205555,45.5625317,9.0463935,0,4.65469163390869,4.271798881335775,7.271663047074147
1499254205573,45.5625317,9.0463935,0,7.013007910209405,3.269787038701201,7.34589505459256
1499254205596,45.5625317,9.0463935,0,5.499484820568725,3.5064099293683975,7.24531181792934
1499254205615,45.5625317,9.0463935,0,4.8028646014781655,2.5845102166308402,7.7028410578779365
1499254205634,45.5625317,9.0463935,0,9.601905539096887,4.167559376556226,17.119997371604132
1499254205653,45.5625317,9.0463935,0,7.084379920602155,2.40428641390114,6.801912510454899
1499254205659,45.5625317,9.0463935,0,1.7290208973540337*"",0.0022256609780346714*"",-0.10238057895062469*""
1499254205675,45.5625317,9.0463935,0,4.974895835513559,3.49066557461359,9.353329199272336
1499254205693,45.5625317,9.0463935,0,4.1666537248670235,3.7935274160585615,7.578224591895603
1499254205713,45.5625317,9.0463935,0,5.400330187862677,3.058608843614421,6.741990042169926
1499254205735,45.5625317,9.0463935,0,2.8668566389090264,2.4202773577170102,2.9841531662981318
1499254205754,45.5625317,9.0463935,0,12.0284817253786,2.6583823200056784,13.799227825859113
1499254205774,45.5625317,9.0463935,0,5.567559224522719,2.922107991818234,6.955759317208308
1499254205793,45.5625317,9.0463935,0,6.969207117533356,2.6443950157721554,8.019085679977412
1499254205814,45.5625317,9.0463935,0,5.876564322714415,2.7530963409347233,5.552571832782096
